  2    3   0  8.7774652  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.145885287
   4   2   1   3.57820322199E-04
   5   2   1   3.57820322199E-04
   6   2   1   7.83269839166E-04
   1   3   1  -2.21511230924E-04
   2   3   1  -2.35807644092E-05
   3   3   1  -2.21511231046E-04
   4   3   1   1.50300471123E-04
   5   3   1   1.75985361586E-04
   6   3   1   1.50300471169E-04
   1   4   1  -8.63174073308E-05
   2   4   1   3.72705601943E-05
   3   4   1   3.72705601484E-05
   4   4   1  -8.63174074117E-05
   5   4   1   3.72705601484E-05
   6   4   1   3.72705601943E-05
   1   5   1  -2.21511230924E-04
   2   5   1   1.50300471169E-04
   3   5   1   1.75985361586E-04
   4   5   1   1.50300471123E-04
   5   5   1  -2.21511231046E-04
   6   5   1  -2.35807644092E-05
   1   6   1  -4.25997410623E-04
   2   6   1   7.83269839166E-04
   3   6   1   3.57820322199E-04
   4   6   1   3.57820322199E-04
   5   6   1   7.83269839145E-04
   6   6   1  -4.25997411110E-04
   1   1   2   3
   1   1   1  -1.97117554145E-02
   2   1   1   5.58707514278E-04
   3   1   1   8.39994957994E-05
   4   1   1   8.39998104287E-05
   5   1   1   5.58708281075E-04
   6   1   1  -1.97117549625E-02
   1   2   1   6.30786430255E-04
   2   2   1  -2.92544885968E-04
   3   2   1   9.98586784264E-05
   4   2   1   7.69694490718E-05
   5   2   1   9.98579404272E-05
   6   2   1  -2.92543706570E-04
   1   3   1  -1.78492422702E-04
   2   3   1  -1.78492470313E-04
   3   3   1   4.26472574605E-05
   4   3   1   1.26587714940E-04
   5   3   1   1.26587528337E-04
   6   3   1   4.26471184828E-05
   1   4   1  -1.47024698081E-04
   2   4   1  -2.09777569836E-04
   3   4   1  -1.47023891521E-04
   4   4   1   1.37955933655E-04
   5   4   1   2.34825575896E-04
   6   4   1   1.37955614708E-04
   1   5   1  -2.85977388054E-04
   2   5   1  -3.24374093499E-04
   3   5   1  -3.24373110626E-04
   4   5   1  -2.85977101949E-04
   5   5   1   5.99520431969E-04
   6   5   1   5.99521128676E-04
   1   6   1  -2.08740832554E-03
   2   6   1  -6.56269036307E-04
   3   6   1  -3.28470023330E-04
   4   6   1  -6.56268171552E-04
   5   6   1  -2.08740829972E-03
   6   6   1   9.71187949436E-03
   1   1   3   1
   1   1   1   5.05787715162E-03
   2   1   1   5.05787620441E-03
   3   1   1   9.80338354996E-04
   4   1   1   2.97140094623E-04
   5   1   1   2.97139978958E-04
   6   1   1   9.80339186452E-04
   1   2   1   9.59157180834E-05
   2   2   1  -1.57355129699E-03
   3   2   1   9.59148065156E-05
   4   2   1   3.30902919498E-04
   5   2   1   2.63464802259E-04
   6   2   1   3.30904500464E-04
   1   3   1   5.81118409539E-05
   2   3   1  -2.68401990975E-04
   3   3   1  -2.68401376026E-04
   4   3   1   5.81121649982E-05
   5   3   1   1.87778636732E-04
   6   3   1   1.87778927644E-04
   1   4   1   1.14070921919E-04
   2   4   1  -1.28069927227E-04
   3   4   1  -1.75499820586E-04
   4   4   1  -1.28068206695E-04
   5   4   1   1.14070242737E-04
   6   4   1   1.94887974108E-04
   1   5   1   2.58895703450E-04
   2   5   1  -3.03727567283E-04
   3   5   1  -1.71199457030E-04
   4   5   1  -1.71199510683E-04
   5   5   1  -3.03728162915E-04
   6   5   1   2.58895161441E-04
   1   6   1  -3.16843607763E-03
   2   6   1  -6.99358496791E-03
   3   6   1  -4.46992663079E-04
   4   6   1  -8.31888223319E-05
   5   6   1  -4.46991490997E-04
   6   6   1  -6.99358386633E-03
   1   1   3   2
   1   1   1  -1.97117554145E-02
   2   1   1  -1.97117549625E-02
   3   1   1   5.58708281075E-04
   4   1   1   8.39998104287E-05
   5   1   1   8.39994957994E-05
   6   1   1   5.58707514278E-04
   1   2   1  -2.08740832554E-03
   2   2   1   9.71187949436E-03
   3   2   1  -2.08740829972E-03
   4   2   1  -6.56268171552E-04
   5   2   1  -3.28470023330E-04
   6   2   1  -6.56269036307E-04
   1   3   1  -2.85977388054E-04
   2   3   1   5.99521128676E-04
   3   3   1   5.99520431969E-04
   4   3   1  -2.85977101949E-04
   5   3   1  -3.24373110626E-04
   6   3   1  -3.24374093499E-04
   1   4   1  -1.47024698081E-04
   2   4   1   1.37955614708E-04
   3   4   1   2.34825575896E-04
   4   4   1   1.37955933655E-04
   5   4   1  -1.47023891521E-04
   6   4   1  -2.09777569836E-04
   1   5   1  -1.78492422702E-04
   2   5   1   4.26471184828E-05
   3   5   1   1.26587528337E-04
   4   5   1   1.26587714940E-04
   5   5   1   4.26472574605E-05
   6   5   1  -1.78492470313E-04
