  1    2   0  4.6600075  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    8.110399659
           1  'C  '    10947.3568039781     
   9   1   1   4.73968801802E-03   0.00000000000E+00
  10   1   1   3.14936461073E-03   0.00000000000E+00
   1   2   1  -1.17369236107E-02   0.00000000000E+00
   2   2   1  -1.17369236107E-02   0.00000000000E+00
   3   2   1  -1.75571450661E-03   0.00000000000E+00
   4   2   1   8.89698984866E-04   0.00000000000E+00
   5   2   1   1.01002023397E-03   0.00000000000E+00
   6   2   1   2.37086062016E-04   0.00000000000E+00
   7   2   1   2.37086062016E-04   0.00000000000E+00
   8   2   1   1.01002023397E-03   0.00000000000E+00
   9   2   1   8.89698984866E-04   0.00000000000E+00
  10   2   1  -1.75571450661E-03   0.00000000000E+00
   1   3   1  -6.12959747927E-04   0.00000000000E+00
   2   3   1  -4.67531356751E-04   0.00000000000E+00
   3   3   1  -6.12959747927E-04   0.00000000000E+00
   4   3   1   3.55433937482E-05   0.00000000000E+00
   5   3   1  -3.65683263432E-04   0.00000000000E+00
   6   3   1   3.79824575757E-04   0.00000000000E+00
   7   3   1   4.79432562448E-04   0.00000000000E+00
   8   3   1   3.79824575757E-04   0.00000000000E+00
   9   3   1  -3.65683263432E-04   0.00000000000E+00
  10   3   1   3.55433937482E-05   0.00000000000E+00
   1   4   1  -3.56675725376E-04   0.00000000000E+00
   2   4   1   3.45274022546E-04   0.00000000000E+00
   3   4   1   3.45274022546E-04   0.00000000000E+00
   4   4   1  -3.56675725376E-04   0.00000000000E+00
   5   4   1   2.17439323502E-04   0.00000000000E+00
   6   4   1   1.01410904932E-04   0.00000000000E+00
   7   4   1   8.82835781617E-06   0.00000000000E+00
   8   4   1   8.82835781617E-06   0.00000000000E+00
   9   4   1   1.01410904932E-04   0.00000000000E+00
  10   4   1   2.17439323502E-04   0.00000000000E+00
   1   5   1  -1.19876388801E-04   0.00000000000E+00
   2   5   1   4.40850735058E-04   0.00000000000E+00
   3   5   1   5.94034799840E-05   0.00000000000E+00
   4   5   1   4.40850735058E-04   0.00000000000E+00
   5   5   1  -1.19876388801E-04   0.00000000000E+00
   6   5   1  -1.96912025763E-04   0.00000000000E+00
   7   5   1   3.08100788911E-04   0.00000000000E+00
   8   5   1  -1.85954836305E-04   0.00000000000E+00
   9   5   1   3.08100788911E-04   0.00000000000E+00
  10   5   1  -1.96912025763E-04   0.00000000000E+00
   1   6   1   6.09770600000E-04   0.00000000000E+00
   2   6   1   8.35888529834E-05   0.00000000000E+00
   3   6   1   2.68444945624E-04   0.00000000000E+00
   4   6   1   2.68444945624E-04   0.00000000000E+00
   5   6   1   8.35888529834E-05   0.00000000000E+00
   6   6   1   6.09770600000E-04   0.00000000000E+00
   7   6   1  -4.31218106404E-04   0.00000000000E+00
   8   6   1  -1.48856292204E-04   0.00000000000E+00
   9   6   1  -1.48856292204E-04   0.00000000000E+00
