  2    2   0  8.1473937  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    5.013197440
           1  'Pb '    188851.246969807     
           2  'Te '    116300.285296078     
    1    2      0.0000000000      0.5773502692      2.7031875291
    2    1      0.0000000000      0.0000000000      2.3100099106
 T
          3.432338423574         -0.000000000033          0.000000000000
         -0.000000000033          3.432338423622          0.000000000000
          0.000000000000          0.000000000000          1.208801587933
    1
     -2.3499491     -0.0000000      0.0000000
     -0.0000000     -2.3499491      0.0000000
      0.0000000      0.0000000     -0.0958396
    2
      2.3499491      0.0000000      0.0000000
      0.0000000      2.3499491      0.0000000
      0.0000000      0.0000000      0.0958396
   6   6   1
   3   3   1  -2.59301902687E-04
   4   3   1   1.67065995977E-04
   5   3   1  -9.97797033317E-10
   6   3   1  -1.67064998168E-04
   1   4   1   8.33720264343E-05
   2   4   1  -1.23254181592E-04
   3   4   1   1.23255179410E-04
   4   4   1  -8.33740220375E-05
   5   4   1   8.45217121001E-05
   6   4   1  -8.45207142827E-05
   1   5   1   4.02266771932E-06
   2   5   1  -1.28331530859E-04
   3   5   1  -9.97797033317E-10
   4   5   1   1.28332528668E-04
   5   5   1  -4.02166991305E-06
   6   5   1  -9.97785245197E-10
   1   6   1   1.59662573460E-03
   2   6   1  -3.91011054636E-04
   3   6   1  -6.31787190027E-05
   4   6   1   6.31797168287E-05
   5   6   1   3.91009059033E-04
   6   6   1  -1.59662473681E-03
   1   2   1   2
   1   1   1  -1.47755522323E-10
   2   1   1  -7.07754404437E-04
   3   1   1   9.25222523724E-05
   4   1   1  -1.47652485917E-10
   5   1   1  -9.25221047612E-05
   6   1   1   7.07754552084E-04
   1   2   1  -1.91455540050E-05
   2   2   1   1.91457016218E-05
   3   2   1  -2.93134985189E-04
   4   2   1  -5.98190304552E-05
   5   2   1   5.98191780804E-05
   6   2   1   2.93134689914E-04
   1   3   1  -1.09640812055E-04
   2   3   1  -1.47649236105E-10
   3   3   1   1.09640959686E-04
   4   3   1  -1.19677895103E-04
   5   3   1  -1.47645688307E-10
   6   3   1   1.19678042735E-04
   1   4   1   1.47303418612E-04
   2   4   1   5.24753650797E-05
   3   4   1  -5.24752174520E-05
   4   4   1  -1.47303713891E-04
   5   4   1  -1.51027217682E-04
   6   4   1   1.51027365301E-04
   1   5   1   6.00868631284E-04
   2   5   1   1.16654051717E-04
   3   5   1  -1.47648008523E-10
   4   5   1  -1.16653904089E-04
