  2    2   0  4.7418901  0.0000000  0.0000000  0.0000000  0.0000000  0.0000000
      1.000000000    0.000000000    0.000000000
     -0.500000000    0.866025404    0.000000000
      0.000000000    0.000000000    7.970349730
           1  'B  '    9853.62370169200     
           2  'N  '    12766.3260662741     
    1    1      0.0000000000      0.5773502692      3.9851748648
    2    2      0.5000000000      0.2886751346      3.9851748648
 T
          1.627164291400          0.000000000000          0.000000000000
          0.000000000000          1.627164291393          0.000000000000
          0.000000000000          0.000000000000          1.103712267781
    1
      2.7050956      0.0000000      0.0000000
      0.0000000      2.7050956      0.0000000
      0.0000000      0.0000000      0.2300446
    2
     -2.7050956      0.0000000      0.0000000
      0.0000000     -2.7050956      0.0000000
      0.0000000      0.0000000     -0.2300446
   1   1   1  -4.65404633209E-01   8.65490100089E-02
   2   1   1  -4.65404636391E-01   8.65490132874E-02
   3   1   1  -8.92161997626E-04   1.99739385205E-02
   4   1   1  -5.67338189132E-04   7.35184668520E-03
   5   1   1  -2.40853500701E-04   3.95308181592E-03
   6   1   1  -1.52118815620E-04   2.88083641562E-03
   7   1   1  -1.52115489860E-04   2.88083383142E-03
   8   1   1  -2.40854432706E-04   3.95308316066E-03
   9   1   1  -5.67342288190E-04   7.35185030852E-03
  10   1   1  -8.92158656622E-04   1.99739349364E-02
   1   2   1   9.19316843172E-03   6.54181890719E-04
   2   2   1  -1.77171508219E-02  -2.87826258080E-02
   3   2   1   9.19317197658E-03   6.54178639027E-04
   4   2   1   2.06250088550E-03   5.40586763565E-03
   5   2   1   4.41795033399E-04   3.75130892159E-03
   6   2   1   1.00660239673E-04   2.71022771143E-03
   7   2   1   4.85304022523E-05   2.39656614572E-03
   8   2   1   1.00660177355E-04   2.71022946704E-03
   9   2   1   4.41800642105E-04   3.75130424999E-03
  10   2   1   2.06250047747E-03   5.40586921257E-03
   1   3   1   7.41690303267E-04   3.59793563420E-05
   2   3   1  -1.88445067270E-03  -5.72654820784E-03
   3   3   1  -1.88445031168E-03  -5.72654815584E-03
   4   3   1   7.41687008437E-04   3.59831228165E-05
   5   3   1   6.68229897969E-04   1.94676236263E-03
   6   3   1   3.40768127967E-04   1.96928538293E-03
   7   3   1   1.97700711197E-04   1.77739078402E-03
   8   3   1   1.97702638937E-04   1.77738859668E-03
   9   3   1   3.40764553911E-04   1.96928829405E-03
  10   3   1   6.68228052032E-04   1.94676374661E-03
   1   4   1   1.32470236950E-04   2.41297496286E-04
   2   4   1  -2.74050193714E-04  -1.43451554772E-03
   3   4   1  -9.23491790540E-04  -2.61957049765E-03
   4   4   1  -2.74049306940E-04  -1.43451641095E-03
   5   4   1   1.32473200876E-04   2.41294558406E-04
   6   4   1   2.41407767901E-04   9.45821909499E-04
   7   4   1   2.42968119818E-04   1.04510495396E-03
   8   4   1   2.40272296688E-04   1.02415160898E-03
   9   4   1   2.42968726403E-04   1.04510409072E-03
